"DATE","TIME PERIOD","Monetary aggregate M3, Stocks (BSI.M.U2.Y.V.M30.X.1.U2.2300.Z01.E) - Modified value (Quarterly)"
"2017-03-31","2017Q1","11581144.00"
"2017-06-30","2017Q2","11652740.00"
"2017-09-30","2017Q3","11773187.00"
"2017-12-31","2017Q4","11858924.00"
"2018-03-31","2018Q1","11947415.00"
"2018-06-30","2018Q2","12148975.00"
"2018-09-30","2018Q3","12192728.00"
"2018-12-31","2018Q4","12367971.00"
"2019-03-31","2019Q1","12535013.00"
"2019-06-30","2019Q2","12713460.00"
"2019-09-30","2019Q3","12921691.00"
"2019-12-31","2019Q4","12981800.00"
"2020-03-31","2020Q1","13488513.00"
"2020-06-30","2020Q2","13908323.00"
"2020-09-30","2020Q3","14152539.00"
"2020-12-31","2020Q4","14477108.00"
"2021-03-31","2021Q1","14761227.00"
"2021-06-30","2021Q2","14987867.00"
"2021-09-30","2021Q3","15253663.00"
"2021-12-31","2021Q4","15499049.00"
"2022-03-31","2022Q1","15729145.00"
"2022-06-30","2022Q2","15929996.00"
"2022-09-30","2022Q3","16195744.00"
"2022-12-31","2022Q4","16059190.00"
"2023-03-31","2023Q1","16040580.00"
"2023-06-30","2023Q2","15980596.00"
"2023-09-30","2023Q3","15986569.00"
"2023-12-31","2023Q4","16108579.00"
"2024-03-31","2024Q1","16174841.00"
"2024-06-30","2024Q2","16361315.00"
"2024-09-30","2024Q3","16540224.00"
"2024-12-31","2024Q4","16776476.00"
"2025-03-31","2025Q1","16838607.00"
"2025-06-30","2025Q2","16927287.00"
"2025-09-30","2025Q3","16982252.00"
"2025-12-31","2025Q4","17204185.00"
"2026-02-28","2026Q1","17369529.00"
